timestamp,pos.x,pos.y,pos.z,vel.x,vel.y,vel.z
2025-02-15T19:59:40.000000Z,5791.446807,-19378.098092,17138.073527,1.902003241,-1.090130234,-1.904995113
2025-02-15T20:04:40.000000Z,6350.591344,-19703.352145,16550.25547,1.825265955,-1.077395177,-2.0131747
2025-02-15T20:09:40.000000Z,6886.406133,-20024.030669,15930.549688,1.746526451,-1.059615581,-2.117544757
2025-02-15T20:10:00.000000Z,6921.283357,-20045.209279,15888.130675,1.741213685,-1.058249343,-2.124361979
2025-02-15T20:15:00.000000Z,7431.6081,-20359.328973,15235.7071,1.660704619,-1.03502808,-2.224439864
2025-02-15T20:20:00.000000Z,7917.575062,-20665.71255,14553.88982,1.578885015,-1.00667181,-2.320287397
2025-02-15T20:25:00.000000Z,8378.842098,-20962.817559,13843.976911,1.496095403,-0.973171315,-2.411712772
2025-02-15T20:30:00.000000Z,8815.169532,-21249.102195,13107.322759,1.412678122,-0.934540155,-2.498532477
2025-02-15T20:35:00.000000Z,9226.420473,-21523.032148,12345.335505,1.32897583,-0.890814721,-2.58057171
2025-02-15T20:40:00.000000Z,9612.560684,-21783.087442,11559.474383,1.245330004,-0.842054185,-2.657664787
2025-02-15T20:45:00.000000Z,9973.658012,-22027.769252,10751.246907,1.162079443,-0.788340341,-2.729655522
2025-02-15T20:50:00.000000Z,10309.881355,-22255.606657,9922.205976,1.079558779,-0.729777354,-2.796397601
2025-02-15T20:55:00.000000Z,10621.499189,-22465.163294,9073.946863,0.998097006,-0.666491397,-2.857754925
2025-02-15T21:00:00.000000Z,10908.877665,-22655.0439,8208.104092,0.918016026,-0.598630195,-2.913601939
2025-02-15T21:05:00.000000Z,11172.478255,-22823.900691,7326.348242,0.839629231,-0.526362468,-2.963823939
2025-02-15T21:10:00.000000Z,11412.855006,-22970.439568,6430.382632,0.763240112,-0.449877273,-3.008317353
2025-02-15T21:15:00.000000Z,11630.651355,-23093.42611,5521.939952,0.689140922,-0.369383258,-3.046990002
2025-02-15T21:20:00.000000Z,11826.596568,-23191.691322,4602.778806,0.617611377,-0.28510782,-3.079761328
2025-02-15T21:25:00.000000Z,12001.501788,-23264.137126,3674.680204,0.548917417,-0.197296179,-3.106562607
2025-02-15T21:30:00.000000Z,12156.255728,-23309.741559,2739.443966,0.483310033,-0.106210362,-3.127337127
2025-02-15T21:35:00.000000Z,12291.820013,-23327.563653,1798.885107,0.421024149,-0.012128122,-3.14204034
2025-02-15T21:40:00.000000Z,12409.224208,-23316.747976,854.830167,0.36227759,0.08465824,-3.150639986
2025-02-15T21:45:00.000000Z,12509.560538,-23276.52882,-90.886496,0.307270116,0.183843096,-3.15311619
2025-02-15T21:50:00.000000Z,12593.978333,-23206.233999,-1036.426415,0.256182548,0.285108795,-3.149461526
